email,association_name,name,location,city,department,region,country,phone,website,type,language,specialization,notes,
info@lesateliersdelaccordeon.be,Les Ateliers de l'Accordéon Diatonique,,Belgium,,Wallonie - Gerpinnes,,,lesateliersdelaccordeon.be,French,Association/Workshop,,,Diatonic accordion,"['Workshops, performances - Pierre and Marinette Bonnert']"
info@boombal.be,Boombal,,Belgium,,Gent,+32 475 70 96 87,,boombal.be,Dutch/French,Association/Festival,,,Balfolk/Diatonic accordion,['Major folk dance organization in Flanders']
info@accordeon.ch,Accordeon.ch,,Switzerland,,National,,,accordeon.ch,German/French/Italian,National Federation,,,Accordion,['National accordion association - events and competitions']
schwyzoise@bluewin.ch,Schwyzoise.ch - Benoit Brunisholz,,Switzerland,,French-speaking,,,schwyzoise.ch,French,School/Shop,,,Schwyzerörgeli,"['Group lessons, private lessons, shop']"
web_contact@echo-signal.ch,Echo du Signal de Bernex,,Switzerland,,Geneva,,,echo-signal.ch,French,Association,,,Schwyzerörgeli,['Large Schwyzerörgeli ensemble']
swissaccordion@fisarmonicisti.ch,Swiss Accordion,,Switzerland,,Italian-speaking,,,fisarmonicisti.ch,Italian,National Federation,,,Accordion,['Official Swiss Accordion Association']
gottfried.hubmann@harmonikaverband.at,Prof. Gottfried Hubmann - HVÖ,,Austria,,National,,,harmonikaverband.at,German,National Federation,,,Steirische Harmonika,['Vice-President HVÖ - Steirische Harmonika specialist']
info@volksmusikstadl.com,Volksmusikstadl Michael Stauner,,Austria,,National,,,alpen-harmonika.de,German,Dealer/Association,,,Steirische Harmonika,['General distributor Alpen Harmonika']
office@steirische-harmonika.at,Schmidt Harmonika-Erzeugung GmbH,,Austria,,Weinitzen bei Graz,,,steirische-harmonika.at,German,Manufacturer,,,Steirische Harmonika,['Major harmonika manufacturer']
contact@balfolkpaysdelaloire.fr,Bal Folk Pays de la Loire,,France,,Loire-Atlantique,Pays de la Loire,,,balfolk44.fr,French,,,Association,"['Bal folk', 'Réseau bal folk régional']"
balfolk.nantes@gmail.com,Bal Folk Nantes,,France,,Nantes,Pays de la Loire,,,facebook.com/balfolknantes,French,,,Association,"['Bal folk', 'Bals réguliers à Nantes']"
contact@danskafe.fr,Dans'Kaf,,France,,Nantes,Pays de la Loire,,,,French,,,Association,"['Café dansant', 'Café dansant bal folk']"
trad.anjou@gmail.com,Trad en Anjou,,France,,Angers,Pays de la Loire,,,,French,,,Association,"['Music trad', 'Musique traditionnelle Anjou']"
assocantepaerdrix@gmail.com,Cante Paerdrix,,France,,Angers,Pays de la Loire,,,,French,,,Association,"['Chant trad', 'Chant et musique traditionnelle']"
lesamisdansbalfolk@gmail.com,Les Amis Dans Bal Folk,,France,,Le Mans,Pays de la Loire,,,,French,,,Association,"['Bal folk', 'Organisation bals folk Sarthe']"
contact@lafolkatonik.fr,La Folkatonik,,France,,La Roche-sur-Yon,Pays de la Loire,,,lafolkatonik.fr,French,,,Association,"['Bal folk', 'Bal folk Vendée']"
fest-deiz@orange.fr,Fest-Deiz,,France,,Vannes,Bretagne,,,,French,,,Association,"['Fest-noz', 'Organisation fest-noz Morbihan']"
contact@festival-kan.bzh,Kan ar Bobl,,France,,Bretagne,Bretagne,,,kan-ar-bobl.bzh,French,,,Festival,"['Concours chant', 'Concours chant traditionnel breton']"
kendalc'h@kendalch.bzh,Kendalc'h,,France,,Pontivy,Bretagne,,02 97 25 58 42,kendalch.bzh,French,,,Federation,"['Cercles celtiques', 'Fédération cercles celtiques Bretagne']"
war-leur.penn@wanadoo.fr,War-Leur Penn ar Bed,,France,,Quimper,Bretagne,,,,French,,,Association,"['Cercle celtique', 'Cercle celtique Finistère']"
ti-dour@wanadoo.fr,Ti Dour,,France,,Brest,Bretagne,,,,French,,,Association,"['Fest-noz', 'Fest-noz et bal folk Brest']"
tamm-kreiz@orange.fr,Tamm Kreiz,,France,,Lorient,Bretagne,,,,French,,,Association,"['Musique bretonne', 'Musique bretonne trad']"
sonneurs.bagad@gmail.com,Bagad de Vannes,,France,,Vannes,Bretagne,,,,French,,,Association,"['Bagad', 'Bagad pipers Vannes']"
contact@dansebretonne.bzh,Danse Bretonne,,France,,Rennes,Bretagne,,,,French,,,Association,"['Danse trad', 'Danse traditionnelle bretonne']"
hent.alafurian@gmail.com,Hent Ala Furiañ,,France,,Saint-Brieuc,Bretagne,,,,French,,,Association,"['Danse musique', ""Danse et musique Côtes-d'Armor""]"
skol.uhel.ar.vro@wanadoo.fr,Skol Uhel ar Vro,,France,,Guingamp,Bretagne,,,,French,,,School,"['Musique trad', 'École de musique traditionnelle']"
roudoub@gmail.com,Roudoub,,France,,Loudéac,Bretagne,,,,French,,,Association,"['Fest-noz', 'Fest-noz Loudéac']"
info@fest-noz.bzh,Fédération Kendalc'h section Vannes,,France,,Vannes,Bretagne,,,,French,,,Federation,"['Fest-noz', 'Réseau fest-noz']"
contact@modal-breizh.bzh,Modal Breizh,,France,,Lorient,Bretagne,,02 97 21 24 80,modal-breizh.bzh,French,,,Cultural Center,"['Musique bretonne', 'Centre régional musique bretonne']"
secretariat@famdt.com,FAMDT - Fédération Arts Vivants et Musiques Traditionnelles,,France,,Paris,Île-de-France,,01 40 39 97 50,famdt.com,French,,,National Federation,"['Musiques trad', 'Fédération nationale arts vivants']"
contact@maisondescultures.bzh,Maison des Cultures de Bretagne,,France,,Pontivy,Bretagne,,02 97 29 68 68,maisondescultures.bzh,French,,,Cultural Center,"['Cultures Bretagne', 'Centre cultures de Bretagne']"
info@cpmdt.fr,CPMDT Poitou-Charentes,,France,,Parthenay,Nouvelle-Aquitaine,,05 49 64 31 46,cpmdt.fr,French,,,Cultural Center,"['Musique trad', 'Centre patrimoine musical']"
association@trad-magazine.com,Trad Magazine,,France,,Paris,Île-de-France,,,,French,,,Media,"['Magazine trad', 'Magazine musiques traditionnelles']"
redaction@acordeon-magazine.fr,Accordéon Magazine,,France,,Paris,Île-de-France,,,,French,,,Media,"['Magazine accordéon', 'Magazine spécialisé accordéon']"
contact@tradrhonealpes.fr,Trad'Rhône-Alpes,,France,,Lyon,Auvergne-Rhône-Alpes,,,,French,,,Association,"['Musique trad', 'Réseau musiques traditionnelles']"
info@epicurien.fr,Epicurien Folk,,France,,Dijon,Bourgogne-Franche-Comté,,,,French,,,Association,"['Bal folk', 'Association bal folk Dijon']"
contact@balkanfolk.fr,Balkan Folk France,,France,,Lyon,Auvergne-Rhône-Alpes,,,,French,,,Association,"['Musique balkanique', 'Musiques balkaniques et folk']"
info@lesbrossardises.fr,Les Brossardises,,France,,Brossard,Centre-Val de Loire,,,,French,,,Festival,"['Festival folk', 'Festival musiques du monde']"
