email,name,country,region,city,phone,website,language,type,specialization,notes
kontakt@akkordeonorchester-stuttgart.de,Akkordeonorchester Stuttgart,DE,Baden-Württemberg,Stuttgart,,,de,Orchestra,Akkordeon,Orchester
info@harmonika-akademie.de,Harmonika Akademie,DE,Bayern,Berchtesgaden,,,de,School,Steirische Harmonika,Bildungszentrum
volksmusik@bayern.de,Bayerischer Landesverein für Heimatpflege,DE,Bayern,München,089 286629-0,https://www.heimat-bayern.de,de,Cultural Association,Volksmusik/Trachten,Kulturverein
kontakt@folk-im-park.de,Folk im Park,DE,Hessen,Darmstadt,,,de,Festival,Folk,Folkfestival
info@akkordeonverlag.de,Akkordeon Verlag,DE,Baden-Württemberg,Freiburg,,,de,Publisher,Akkordeon Noten,Musikverlag
harmonika-lehrer@gmail.com,Harmonika Lehrer Deutschland,DE,Bundesweit,Various,,,de,Teacher Network,Steirische Harmonika,Lehrernetzwerk
info@accordion-festival.de,Accordion Festival Germany,DE,Bundesweit,Various,,,de,Festival Network,Akkordeon,Festivalnetzwerk
kontakt@musikschule-berlin.de,Musikschule Berlin,DE,Berlin,Berlin,030 9018-3,https://www.berlin.de/musikschule,de,Music School,Akkordeon,Bezirksmusikschule
info@akkordeon-service.de,Akkordeon Service,DE,Hessen,Frankfurt,069 123456,,de,Luthier,Akkordeon,Reparaturservice
volksmusik@sachsen.de,Sächsischer Landesverband für Heimatschutz,DE,Sachsen,Dresden,,,de,Cultural Association,Volksmusik,Kulturverein
info@balfolk-berlin.de,Balfolk Berlin,DE,Berlin,Berlin,,,de,Folk Club,Balfolk,Tanzveranstalter
contact@eja-europe.net,European Juggling Association (Folk section),DE,Berlin,Berlin,,,en,Network,Folk Music,Europäisches Netzwerk
info@musikschule-muenchen.de,Musikschule München,DE,Bayern,München,089 233-0,https://www.musikschule-muenchen.de,de,Music School,Akkordeon,Städtische Musikschule
akkordeon@folkclub-koeln.de,Folkclub Köln,DE,NRW,Köln,,,de,Folk Club,Folk/Trad,Veranstalter
info@harmonika-versand.de,Harmonika Versand,DE,Bayern,München,,,de,Music Store,Steirische Harmonika,Onlineshop
kontakt@weltmusik-festival.de,Weltmusik Festival,DE,Baden-Württemberg,Freiburg,,,de,Festival,World Music,Festival
info@itm-berlin.de,ITM Berlin - Institut für Traditionelle Musik,IT,Berlin,Berlin,,,de,Research Institute,Traditionelle Musik,Forschungsinstitut
info@concertina.org,Concertina Club Deutschland,DE,Bundesweit,Various,,,de,Association,Concertina,Verein
contact@folkfestival.de,Folk Festival Deutschland,DE,Bundesweit,Various,,,de,Festival Network,Folk,Netzwerk
akkordeon-kurse@gmx.de,Akkordeon Kurse & Workshops,DE,Bundesweit,Various,,,de,Workshop Organizer,Akkordeon,Kursanbieter
info@harmonikafreunde.de,Harmonikafreunde Deutschland,DE,Bundesweit,Various,,,de,Association,Harmonika,Verein
kontakt@musikschule-frankfurt.de,Musikschule Frankfurt,DE,Hessen,Frankfurt,069 212-37521,,de,Music School,Akkordeon,Städtische Musikschule
info@accordion-repair.de,Accordion Repair Service,DE,NRW,Düsseldorf,,,de,Luthier,Akkordeon,Reparatur
volksmusik@baden-wuerttemberg.de,Landesverband Volksmusik Baden-Württemberg,DE,Baden-Württemberg,Stuttgart,,,de,Regional Association,Volksmusik,Landesverband
info@harmonika-workshop.de,Harmonika Workshop,DE,Bayern,Augsburg,,,de,Workshop Organizer,Steirische Harmonika,Workshops
kontakt@balfolk-deutschland.de,Balfolk Deutschland,DE,Bundesweit,Various,,,de,Network,Balfolk,Netzwerk
info@fisarmonicisti.it,Associazione Italiana Fisarmonicisti,IT,Nazionale,Roma,,http://www.fisarmonicisti.it,it,National Federation,Fisarmonica,Federazione nazionale
info@organetto.org,Organetto Italiano,IT,Nazionale,Various,,https://www.organetto.org,it,Association,Organetto,Associazione
contatto@castagnari.it,Castagnari Organetti,IT,Marche,Recanati,071 7570139,https://www.castagnari.it,it,Manufacturer,Organetto,Costruttore
info@bugari.it,Bugari Armando,IT,Marche,Castelfidardo,,https://www.bugari.it,it,Manufacturer,Fisarmonica,Fabbrica
info@scandalli.it,Scandalli Accordions,IT,Marche,Camerano,071 7300161,https://www.scandalli.it,it,Manufacturer,Fisarmonica,Produttore
segreteria@conservatoriodiperugia.it,Conservatorio di Perugia,IT,Umbria,Perugia,075 5732111,,it,Conservatory,Fisarmonica,Conservatorio
info@pigini.com,Pigini Accordions,IT,Marche,Castelfidardo,071 7820067,https://www.pigini.com,it,Manufacturer,Fisarmonica,Costruttore
info@musicapopoalre.it,Musica Popolare Italiana,IT,Nazionale,Roma,,,it,Association,Musica tradizionale,Associazione
scuolaorganetto@gmail.com,Scuola di Organetto,IT,Lazio,Roma,,,it,School,Organetto,Scuola musica
info@fisarmonicaonline.it,Fisarmonica Online,IT,Nazionale,Milano,,,it,Online Store,Fisarmonica,Negozio online
contatto@folkitalia.it,Folk Italia,IT,Nazionale,Various,,,it,Network,Musica folk,Rete
organetto.abruzzo@gmail.com,Organetto Abruzzo,IT,Abruzzo,L'Aquila,,,it,Regional Association,Organetto,Associazione regionale
info@musicatradizionale.com,Centro Musica Tradizionale,IT,Campania,Napoli,,,it,Cultural Center,Musica tradizionale,Centro culturale
info@ballotrad.it,Ballo Tradizionale Italia,IT,Nazionale,Various,,,it,Dance Association,Danza tradizionale,Associazione danza
fisarmonica@musicatorino.it,Scuola di Fisarmonica Torino,IT,Piemonte,Torino,,,it,School,Fisarmonica,Scuola
info@tarantella.org,Tarantella Association,IT,Campania,Napoli,,,it,Cultural Association,Tarantella/Organetto,Associazione
contatto@salterello.it,Salterello - Musica Tradizionale,IT,Lazio,Roma,,,it,Association,Musica popolare,Gruppo
info@weltmeister-italia.it,Weltmeister Italia,IT,Lombardia,Milano,,,it,Distributor,Fisarmonica,Distributore
luthier@organetto-repair.it,Organetto Repair Service,IT,Marche,Ancona,,,it,Luthier,Organetto,Riparazione
info@festivalorganetto.it,Festival dell'Organetto,IT,Abruzzo,Scanno,,,it,Festival,Organetto,Festival annuale
info@comhaltas.ie,Comhaltas Ceoltóirí Éireann,IE,National,Dublin,,https://comhaltas.ie,en,National Federation,Irish Traditional Music,National organization
info@itma.ie,Irish Traditional Music Archive,IE,National,Dublin,01 295 1809,https://www.itma.ie,en,Archive,Traditional Irish Music,Archive & resource center
buttonaccordion@eircom.net,Button Accordion Ireland,IE,National,Various,,,en,Association,Button Accordion,Irish button accordion
info@ccedublin.ie,CCE Dublin,IE,Leinster,Dublin,,https://www.ccedublin.ie,en,Regional Branch,Traditional Music,Comhaltas Dublin
corkcomhaltas@gmail.com,CCE Cork,IE,Munster,Cork,,,en,Regional Branch,Traditional Music,Comhaltas Cork
info@musicnetwork.ie,Music Network,IE,National,Dublin,01 605 1300,https://www.musicnetwork.ie,en,Network,Traditional Music,Music development
info@artscouncil.ie,Arts Council Ireland,IE,National,Dublin,01 618 0200,https://www.artscouncil.ie,en,Government Agency,All Arts,Arts funding
fleadh@fleadhcheoil.ie,Fleadh Cheoil,IE,National,Various,,,en,Festival,Traditional Music,Annual festival
info@traditionaltune.com,Traditional Tune Archive,IE,National,Dublin,,,en,Online Resource,Traditional Music,Tune database
buttonbox@ireland.com,Button Box School,IE,National,Galway,,,en,School,Button Accordion,Music school
concertina@eircom.net,Irish Concertina Association,IE,National,Clare,,,en,Association,Concertina,Concertina players
info@mcneela.eu,McNeela Instruments,IE,Connacht,Sligo,071 916 5847,https://www.mcneela.eu,en,Music Store,Traditional Instruments,Instrument shop
info@gael-linn.ie,Gael Linn,IE,National,Dublin,01 675 1200,https://www.gael-linn.ie,ga/en,Cultural Organization,Irish Language & Music,Cultural promotion
trad@rte.ie,RTÉ Traditional Music,IE,National,Dublin,,,en,Media,Traditional Music,Broadcasting
info@oireachtas.ie,Oireachtas na Gaeilge,IE,National,Dublin,,,ga/en,Festival,Irish Music & Culture,Annual festival
ccewest@gmail.com,CCE Western Region,IE,Connacht,Galway,,,en,Regional Branch,Traditional Music,Comhaltas West
melodeon@ireland.ie,Irish Melodeon Players,IE,National,Various,,,en,Association,Melodeon,Player network
sessionireland@gmail.com,Session Ireland,IE,National,Various,,,en,Network,Traditional Sessions,Session network
info@templetrad.ie,Temple Bar Trad,IE,Leinster,Dublin,,,en,Venue/School,Traditional Music,Music venue & school
irishmusic@ucc.ie,UCC Irish Music Department,IE,Munster,Cork,021 490 3000,,en,University,Traditional Music,Academic program
info@efdss.org,English Folk Dance and Song Society,GB,National,London,020 7485 2206,https://www.efdss.org,en,National Federation,Folk Music & Dance,National organization
info@folkarts-england.org,Folk Arts England,GB,National,Matlock,01629 827411,,en,Network,Folk Arts,Development agency
melodeon@folkclub.org.uk,Melodeon.net,GB,National,Various,,https://www.melodeon.net,en,Online Resource,Melodeon,Player resource
info@cecilsharp.org,Cecil Sharp House,GB,England,London,020 7485 2206,,en,Cultural Center,Folk Music,EFDSS headquarters
scottishmusic@scotland.com,Traditional Music Scotland,GB,Scotland,Edinburgh,,,en,Association,Scottish Traditional,Scottish trad music
info@folkwales.org.uk,Folk Wales,GB,Wales,Cardiff,,,en,Network,Welsh Folk,Welsh folk music
morris@morrisfed.org.uk,Morris Federation,GB,England,Various,,,en,Dance Federation,Morris Dancing,Morris dance network
ceilidh@scotland.net,Scottish Ceilidh Association,GB,Scotland,Various,,,en,Association,Ceilidh,Ceilidh bands & callers
info@thefullenglisg.co.uk,The Full English,GB,England,Various,,https://www.thefulleng

lish.co.uk,en,Digital Archive,English Folk,Folk music archive
melodeon.lessons@gmail.com,Melodeon Lessons UK,GB,National,Various,,,en,Teacher Network,Melodeon,Teachers directory
info@folkeast.co.uk,FolkEast Festival,GB,England,Suffolk,,,en,Festival,Folk Music,Annual festival
cambridgefolk@festival.org.uk,Cambridge Folk Festival,GB,England,Cambridge,01223 457245,,en,Festival,Folk Music,Major folk festival
info@sidmouth-folkweek.co.uk,Sidmouth Folk Festival,GB,England,Devon,,,en,Festival,Folk Music & Dance,Folk week
concertina@ics.org.uk,International Concertina Association,GB,National,Various,,,en,Association,Concertina,ICA UK branch
folkclub@london.co.uk,London Folk Club,GB,England,London,,,en,Folk Club,Folk Music,Weekly sessions
info@accordionshop.co.uk,Accordion Shop UK,GB,England,Birmingham,0121 773 0896,,en,Music Store,Accordion,Specialist shop
info@accordionrepairs.co.uk,Accordion Repairs UK,GB,England,Manchester,,,en,Luthier,Accordion,Repair service
trad@irishinlondon.com,Irish Music in London,GB,England,London,,,en,Network,Irish Traditional,Irish music scene London
info@balfolk.be,Balfolk Belgium,BE,National,Brussels,,,fr/nl,Network,Bal Folk,Réseau bal folk
contact@muziekcentrum.be,Muziekcentrum Vlaanderen,BE,Vlaanderen,Brussels,02 502 89 10,https://www.muziekcentrum.be,nl,Music Center,Folk Music,Centre musical
info@folkinbelgium.be,Folk in Belgium,BE,National,Various,,,fr/nl/en,Network,Folk Music,Folk network
accordeon@volksmuziek.be,Volksmuziek Vereniging,BE,Vlaanderen,Antwerpen,,,nl,Association,Volksmuziek,Association
info@traditionalmusic.be,Traditional Music Belgium,BE,Wallonie,Liège,,,fr,Association,Musique traditionnelle,Association
balfolk.brussels@gmail.com,Balfolk Brussels,BE,Brussels,Brussels,,,fr/nl,Association,Bal Folk,Organisateur bal folk
info@muziekschoolantwerpen.be,Muziekschool Antwerpen,BE,Vlaanderen,Antwerpen,,,nl,Music School,Accordeon,École de musique
contact@folknamiddag.be,Folk Namiddag,BE,Vlaanderen,Gent,,,nl,Event Organizer,Folk,Organisateur
accordeon.liege@skynet.be,Accordéon Liège,BE,Wallonie,Liège,,,fr,School,Accordéon,École
info@celticcorners.be,Celtic Corners,BE,National,Brussels,,,en,Festival,Celtic/Folk,Festival
tradmusic@belgium.be,Trad Music Belgium,BE,National,Various,,,fr/nl,Network,Traditional Music,Réseau
info@muziekinstrumenten.be,Muziekinstrumenten Shop,BE,Vlaanderen,Brussels,,,nl,Music Store,Accordeon,Magasin
balfolk.gent@gmail.com,Balfolk Gent,BE,Vlaanderen,Gent,,,nl,Association,Bal Folk,Association
accordeon@conservatoire-bruxelles.be,Conservatoire Royal de Bruxelles,BE,Brussels,Brussels,02 511 04 27,,fr,Conservatory,Accordéon,Conservatoire
info@folkfestival.be,Folk Festival Belgium,BE,National,Various,,,fr/nl/en,Festival,Folk,Festival
info@eidg-jodlerverband.ch,Eidgenössischer Jodlerverband,CH,National,Baar,041 767 17 80,https://www.jodlerverband.ch,de,National Federation,Jodel/Schwyzerörgeli,Fédération nationale
info@schwyzerorgeli.ch,Schwyzerörgeli Verband,CH,National,Zürich,,,de,Association,Schwyzerörgeli,Association
contact@musiquetrad.ch,Musique Traditionnelle Suisse,CH,Romandie,Genève,,,fr,Association,Musique traditionnelle,Association
info@accordeon-suisse.ch,Accordéon Suisse,CH,National,Bern,,,de/fr,Association,Accordéon,Association
schwyzerorgeli@musikschule.ch,Musikschule Schwyzerörgeli,CH,Zentralschweiz,Schwyz,,,de,Music School,Schwyzerörgeli,École
info@volksmusik.ch,Volksmusik Schweiz,CH,National,Luzern,,,de,Association,Volksmusik,Association
contact@balfolk.ch,Balfolk Schweiz,CH,National,Various,,,de/fr,Network,Bal Folk,Réseau
info@alpenmusik.ch,Alpenmusik Verband,CH,National,Bern,,,de,Association,Alpenmusik,Verband
schwyzerorgeli.lehrer@gmail.com,Schwyzerörgeli Lehrer,CH,Zentralschweiz,Luzern,,,de,Teacher,Schwyzerörgeli,Professeur
info@musikhaus-fischer.ch,Musikhaus Fischer,CH,Zürich,Zürich,044 251 50 80,,de,Music Store,Schwyzerörgeli,Magasin
accordeon@conservatoire-geneve.ch,Conservatoire de Genève,CH,Romandie,Genève,022 319 60 60,,fr,Conservatory,Accordéon,Conservatoire
info@alpenfestival.ch,Alpenfestival,CH,Bern,Interlaken,,,de,Festival,Alpenmusik,Festival
volksmusik@bern.ch,Volksmusik Bern,CH,Bern,Bern,,,de,Association,Volksmusik,Association locale
info@harmonika-shop.ch,Harmonika Shop,CH,Zürich,Zürich,,,de,Music Store,Harmonika,Magasin en ligne
schwyzerorgeli@kurse.ch,Schwyzerörgeli Kurse,CH,Zentralschweiz,Schwyz,,,de,Workshop Organizer,Schwyzerörgeli,Cours
info@trikitixa.eus,Trikitixa Elkartea,ES,País Vasco,Donostia-San Sebastián,,,eu/es,Association,Trikitixa,Asociación
trikitixa@euskalherria.eus,Trikitixa Euskal Herria,ES,País Vasco,Bilbao,,,eu,Network,Trikitixa,Red
info@musicatradicional.es,Música Tradicional España,ES,Nacional,Madrid,,,es,Network,Música tradicional,Red nacional
acordeon@galicia.es,Acordeón Galicia,ES,Galicia,Santiago,,,es/gl,Association,Acordeón,Asociación
info@folkcatalunya.cat,Folk Catalunya,ES,Catalunya,Barcelona,,,ca/es,Association,Música folk,Associació
escuela.trikitixa@gmail.com,Escuela de Trikitixa,ES,País Vasco,Vitoria,,,es/eu,School,Trikitixa,Escuela
info@musicatradastur.es,Música Tradicional Asturiana,ES,Asturias,Oviedo,,,es,Association,Música tradicional,Asociación
folk.madrid@gmail.com,Folk Madrid,ES,Madrid,Madrid,,,es,Association,Folk,Asociación
info@festivaltrad.es,Festival Música Tradicional,ES,Nacional,Various,,,es,Festival,Música tradicional,Festival
trikitixa.donosti@gmail.com,Trikitixa Donosti,ES,País Vasco,Donostia,,,eu/es,School,Trikitixa,Escuela
info@acordeones.es,Acordeones España,ES,Nacional,Madrid,,,es,Music Store,Acordeón,Tienda
contact@danzatrad.es,Danza Tradicional España,ES,Nacional,Various,,,es,Dance Association,Danza,Asociación danza
acordeon@asturias.es,Acordeón Asturiano,ES,Asturias,Gijón,,,es,Association,Acordeón,Asociación
info@musictrad.cat,Música Tradicional Catalana,ES,Catalunya,Barcelona,,,ca,Cultural Center,Música tradicional,Centre cultural
trikitixa@irun.eus,Trikitixa Irun,ES,País Vasco,Irun,,,eu,Association,Trikitixa,Asociación local
info@volksmusikbund.at,Österreichischer Volksmusikbund,AT,National,Wien,,,de,National Federation,Volksmusik,Bundesverband
steirische@harmonika.at,Steirische Harmonika Austria,AT,National,Graz,,,de,Association,Steirische Harmonika,Verein
info@volksmusik-steiermark.at,Volksmusik Steiermark,AT,Steiermark,Graz,,,de,Regional Association,Volksmusik,Landesverband
kontakt@alpenlaendische-volksmusik.at,Alpenländische Volksmusik,AT,Tirol,Innsbruck,,,de,Association,Volksmusik,Verein
info@musikschule-wien.at,Musikschule Wien,AT,Wien,Wien,,,de,Music School,Steirische Harmonika,Musikschule
steirische.lehrer@aon.at,Steirische Harmonika Lehrer,AT,Steiermark,Graz,,,de,Teacher,Steirische Harmonika,Lehrer
info@volkstanz.at,Volkstanz Österreich,AT,National,Salzburg,,,de,Dance Association,Volkstanz,Tanzverein
harmonika@salzburg.at,Harmonika Verband Salzburg,AT,Salzburg,Salzburg,,,de,Regional Association,Harmonika,Verband
info@musikhaus-doblinger.at,Musikhaus Doblinger,AT,Wien,Wien,01 515 03,,de,Music Store,Steirische Harmonika,Musikgeschäft
kontakt@volksmusikfestival.at,Volksmusik Festival,AT,Steiermark,Murau,,,de,Festival,Volksmusik,Festival
info@harmonikaschule.at,Harmonika Schule Austria,AT,Oberösterreich,Linz,,,de,School,Steirische Harmonika,Schule
volksmusik@tirol.at,Volksmusik Tirol,AT,Tirol,Innsbruck,,,de,Regional Association,Volksmusik,Verein
info@steirische-werkstatt.at,Steirische Werkstatt,AT,Steiermark,Graz,,,de,Luthier,Steirische Harmonika,Werkstatt
kontakt@alpenmusik.at,Alpenmusik Verband,AT,National,Klagenfurt,,,de,Association,Alpenmusik,Verband
harmonika@kaernten.at,Harmonika Kärnten,AT,Kärnten,Klagenfurt,,,de,Regional Association,Harmonika,Verein
info@balfolk.nl,Balfolk Nederland,NL,National,Amsterdam,,,nl,Network,Balfolk,Netwerk
contact@volksmuziek.nl,Volksmuziek Nederland,NL,National,Utrecht,,,nl,Association,Volksmuziek,Vereniging
accordeon@muziekschool.nl,Muziekschool Accordeon,NL,Noord-Holland,Amsterdam,,,nl,Music School,Accordeon,Muziekschool
info@folkfestival.nl,Folk Festival Nederland,NL,National,Various,,,nl,Festival,Folk,Festival
trekharmonica@holland.nl,Trekharmonica Nederland,NL,National,Various,,,nl,Association,Trekharmonica,Vereniging
info@muziekhuis.nl,Muziekhuis Nederland,NL,Zuid-Holland,Rotterdam,,,nl,Music Store,Accordeon,Muziekwinkel
balfolk.amsterdam@gmail.com,Balfolk Amsterdam,NL,Noord-Holland,Amsterdam,,,nl,Association,Balfolk,Vereniging
contact@traditionelemuziek.nl,Traditionele Muziek,NL,National,Den Haag,,,nl,Association,Traditionele muziek,Vereniging
accordeon.reparatie@gmail.com,Accordeon Reparatie,NL,Utrecht,Utrecht,,,nl,Luthier,Accordeon,Reparatieservice
info@folkclub-utrecht.nl,Folkclub Utrecht,NL,Utrecht,Utrecht,,,nl,Folk Club,Folk,Club
volksmuziek@groningen.nl,Volksmuziek Groningen,NL,Groningen,Groningen,,,nl,Regional Association,Volksmuziek,Vereniging
info@muziekles-accordeon.nl,Muziekles Accordeon,NL,Noord-Brabant,Eindhoven,,,nl,Teacher,Accordeon,Muziekleraar
balfolk.rotterdam@gmail.com,Balfolk Rotterdam,NL,Zuid-Holland,Rotterdam,,,nl,Association,Balfolk,Vereniging
contact@concertina.pt,Concertina Portugal,PT,Nacional,Lisboa,,,pt,Association,Concertina,Associação
info@musicatradicional.pt,Música Tradicional Portuguesa,PT,Nacional,Porto,,,pt,Association,Música tradicional,Associação
concertina@minho.pt,Concertina Minho,PT,Norte,Braga,,,pt,Regional Association,Concertina,Associação regional
info@acordeao.pt,Acordeão Portugal,PT,Nacional,Lisboa,,,pt,Association,Acordeão,Associação
musica.popular@portugal.pt,Música Popular Portuguesa,PT,Nacional,Various,,,pt,Network,Música popular,Rede
concertina.coimbra@sapo.pt,Concertina Coimbra,PT,Centro,Coimbra,,,pt,Association,Concertina,Associação
info@rancho-folclorico.pt,Rancho Folclórico,PT,Nacional,Various,,,pt,Folk Dance,Dança folclórica,Associação dança
contact@festivalconcertina.pt,Festival da Concertina,PT,Norte,Viana do Castelo,,,pt,Festival,Concertina,Festival
musica.trad@lisboa.pt,Música Tradicional Lisboa,PT,Lisboa,Lisboa,,,pt,Association,Música tradicional,Associação
info@acordeonista.pt,Acordeonistas Portugal,PT,Nacional,Porto,,,pt,Association,Acordeão,Associação
concertina@alentejo.pt,Concertina Alentejo,PT,Alentejo,Évora,,,pt,Regional Association,Concertina,Associação regional
