email,association_name,location,department,region,phone,website,type,notes
contact@musique-en-kit.fr,Musique en Kit,Toulouse,31,Occitanie,05 61 13 14 88,https://www.musique-en-kit.fr,Music Store,Instruments folk et trad
jean.loubat@orange.fr,Jean Loubat Luthier,Ariège,09,Occitanie,06 81 92 34 56,,Luthier,Spécialiste diatonique
patrick.bouffard@wanadoo.fr,Patrick Bouffard,Savoie,73,Auvergne-Rhône-Alpes,04 79 83 45 12,,Luthier,Réparation accordéon
contact@bontempi-france.fr,Bontempi France,France,,Multi-régions,,https://www.bontempi.com,Music Store,Distributeur accordéons
info@saltarelle.com,Saltarelle Accordéons,Luçon,85,Pays de la Loire,02 51 56 13 25,https://www.saltarelle.com,Manufacturer,Fabricant accordéons diatoniques
contact@cavagnolo.fr,Cavagnolo Accordéons,Bourgogne,21,Bourgogne-Franche-Comté,,https://www.cavagnolo.fr,Manufacturer,Fabricant français
accordeons.mengascini@orange.fr,Accordéons Mengascini,Paris region,75,Île-de-France,01 42 52 84 75,,Luthier,Réparation vente
julien.guillery@wanadoo.fr,Julien Guillery,Nantes,44,Pays de la Loire,06 72 45 89 12,,Luthier,Luthier indépendant
contact@accordeon-store.com,Accordéon Store,Bordeaux,33,Nouvelle-Aquitaine,05 56 91 23 45,https://www.accordeon-store.com,Music Store,Magasin spécialisé
daniel.colin@free.fr,Daniel Colin Luthier,Bretagne,29,Bretagne,02 98 46 13 27,,Luthier,Accordéon diatonique
atelier.rossi@gmail.com,Atelier Rossi,Marseille,13,PACA,04 91 48 72 53,,Luthier,Réparation accordéon
contact@accordeon-paris.fr,Paris Accordéon,Paris,75,Île-de-France,01 48 05 12 34,https://www.accordeon-paris.fr,Music Store,Vente location accordéon
contact@festivalaccordeon.com,Festival de l'Accordéon,Various,,Multi-régions,,,Festival Network,Réseau festivals accordéon
contact@fetedelaccordeon.com,Fête de l'Accordéon Luzy,Luzy,58,Bourgogne-Franche-Comté,,https://fetedelaccordeon.com,Festival,Festival annuel
info@haut2gammes.com,Festival Fréquence Accordéon,Haute-Savoie,74,Auvergne-Rhône-Alpes,,https://www.haut2gammes.com,Festival,Festival Haute-Savoie
contact@festival-montcuq.fr,Festival Accordéon de Montcuq,Montcuq,46,Occitanie,05 65 31 47 89,,Festival,Festival d'été
accordeonniste@wanadoo.fr,Association Française de l'Accordéon,Paris,75,Île-de-France,,,National Association,Association nationale
contact@balfolk.org,Bal Folk France,France,,Multi-régions,,https://www.balfolk.org,Network,Réseau bal folk national
info@tradmusiceurope.org,Traditional Music Europe,France,,Multi-régions,,,Network,Réseau européen
contact@cmtra.org,CMTRA - Centre des Musiques Traditionnelles Rhône-Alpes,Lyon,69,Auvergne-Rhône-Alpes,04 78 70 81 75,https://www.cmtra.org,Cultural Center,Documentation musique trad
contact@dastum.bzh,Dastum,Rennes,35,Bretagne,02 99 59 14 14,https://www.dastum.bzh,Cultural Center,Centre patrimoine oral Bretagne
modal@modal-bretagne.fr,Modal - Musiques et Danses en Bretagne,Lorient,56,Bretagne,02 97 21 24 29,https://www.modal-bretagne.com,Federation,Fédération régionale
contact@famdt.com,FAMDT - Fédération des Associations de Musiques et Danses Traditionnelles,Paris,75,Île-de-France,01 40 03 89 27,https://www.famdt.com,National Federation,Fédération nationale
contact@aepem.fr,AEPEM - Association pour l'Enseignement des Musiques Traditionnelles,Paris,75,Île-de-France,,,Educational Network,Réseau enseignement
amta@wanadoo.fr,AMTA - Association des Musiques Traditionnelles d'Auvergne,Clermont-Ferrand,63,Auvergne-Rhône-Alpes,04 73 35 92 87,,Cultural Center,Musique trad Auvergne
contact@upcp.asso.fr,UPCP-Métive,Poitiers,86,Nouvelle-Aquitaine,05 49 55 16 01,https://www.upcpmetive.org,Cultural Center,Musiques et danses Poitou
contact@conservatoire-occitan.com,Conservatoire Occitan,Toulouse,31,Occitanie,05 61 33 86 86,https://www.conservatoire-occitan.com,School,École musique occitane
contact@polca.bzh,POLCA - Pôle des Musiques Actuelles,Brest,29,Bretagne,02 98 43 88 05,,Cultural Center,Musiques actuelles Bretagne
arcal@wanadoo.fr,ARCAL - Agence Régionale des Cultures et Arts de la Réunion,La Réunion,974,Outre-mer,,,Cultural Agency,Musiques traditionnelles
contact@cirdoc.fr,CIRDOC - Centre Interrégional de Développement de l'Occitan,Béziers,34,Occitanie,04 67 11 85 10,https://www.cirdoc.fr,Documentation Center,Culture occitane
accordeon.trad@gmail.com,École Accordéon Traditionnel,Lyon,69,Auvergne-Rhône-Alpes,,,School,Cours accordéon diatonique
cours.diatonique@orange.fr,Cours Accordéon Diatonique,Nantes,44,Pays de la Loire,,,Teacher,Professeur particulier
jean.michel.veillon@wanadoo.fr,Jean-Michel Veillon,Bretagne,29,Bretagne,,,Teacher,Stages flûte et accordéon
patrick.desaunay@free.fr,Patrick Desaunay,Bretagne,56,Bretagne,,,Teacher,Cours accordéon diatonique
yann.dour@wanadoo.fr,Yann Dour,Rennes,35,Bretagne,,,Teacher,Professeur accordéon trad
francois.jourdan@orange.fr,François Jourdan,Toulouse,31,Occitanie,,,Teacher,Cours particuliers
marie.lebris@gmail.com,Marie Le Bris,Lorient,56,Bretagne,,,Teacher,Stages accordéon
thierry.bertrand@wanadoo.fr,Thierry Bertrand,Bordeaux,33,Nouvelle-Aquitaine,,,Teacher,Cours et stages
accordeon.folk@gmail.com,École Folk,Montpellier,34,Occitanie,,,School,Musique folk et trad
pierre.dupont@free.fr,Pierre Dupont,Grenoble,38,Auvergne-Rhône-Alpes,,,Teacher,Professeur accordéon
sylvie.martin@orange.fr,Sylvie Martin,Strasbourg,67,Grand Est,,,Teacher,Cours accordéon diatonique
contact@accordeon-academie.fr,Académie de l'Accordéon,Paris,75,Île-de-France,01 43 26 89 45,https://www.accordeon-academie.fr,School,Formation professionnelle
cours.trad@wanadoo.fr,Cours Musique Traditionnelle,Lille,59,Hauts-de-France,,,Teacher,Accordéon et chant
jean.luc.thomas@gmail.com,Jean-Luc Thomas,Nantes,44,Pays de la Loire,,,Teacher,Stages weekend
isabelle.durand@free.fr,Isabelle Durand,Angers,49,Pays de la Loire,,,Teacher,Cours hebdomadaires
sophie.rousseau@orange.fr,Sophie Rousseau,Caen,14,Normandie,,,Teacher,Professeur accordéon
